audio_id;Date;Group;Bat_flying;Bat_roosting;Dyad;flight_time;n_inquiry;n_response
329;09/16/2022;9,1;982126058484277;982126058484300;982126058484277  982126058484300;300;57;0
330;09/16/2022;9,2;982126051278540;982126057846222;982126051278540  982126057846222;300;34;66
331;09/21/2022;7;982126051278564;982126051278504;982126051278564  982126051278504;300;120;78
332;09/21/2022;7;982126058484305;982126057846208;982126058484305  982126057846208;300;114;51
333;09/21/2022;8;982126051278475;982126057846186;982126051278475  982126057846186;116;8;1
334;09/21/2022;8;982126051278475;982126057846186;982126051278475  982126057846186;300;46;289
335;09/21/2022;11;982126058484302;982126057846231;982126058484302  982126057846231;300;141;309
336;09/21/2022;7;982126051278564;982126057846208;982126051278564  982126057846208;152;50;47
337;09/21/2022;8;982126057846186;982126051278475;982126057846186  982126051278475;300;56;0
338;09/21/2022;7;982126057846208;982126051278564;982126057846208  982126051278564;300;43;0
339;09/21/2022;11;982126057846231;982126058484302;982126057846231  982126058484302;300;128;0
340;09/21/2022;7;982126051278504;982126058484305;982126051278504  982126058484305;300;187;104
341;09/21/2022;8;900200000279820;982126057846186;900200000279820  982126057846186;300;98;291
342;09/21/2022;7;982126057846208;982126051278504;982126057846208  982126051278504;300;43;44
343;09/21/2022;7;982126058484305;982126051278564;982126058484305  982126051278564;45;17;0
344;09/21/2022;7;982126058484305;982126051278564;982126058484305  982126051278564;300;90;0
345;09/21/2022;8;982126051278475;900200000279820;982126051278475  900200000279820;300;42;0
346;09/22/2022;10;900200000206430;982126057846246;900200000206430  982126057846246;300;147;4
347;09/22/2022;10;982126057845238;900200000206430;982126057845238  900200000206430;300;119;2
348;09/22/2022;10;982126057846246;982126057845238;982126057846246  982126057845238;300;63;0
349;09/22/2022;10;982126052945921;900200000206430;982126052945921  900200000206430;300;104;0
350;09/22/2022;10;982126057845238;982126057846246;982126057845238  982126057846246;300;125;0
351;09/22/2022;10;900200000206430;982126052945921;900200000206430  982126052945921;300;109;0
352;09/22/2022;10;982126057846246;900200000206430;982126057846246  900200000206430;300;72;0
354;09/23/2022;3;900200000279490;982126058484346;900200000279490  982126058484346;300;80;0
355;09/23/2022;3;982126057846193;982126058484334;982126057846193  982126058484334;300;43;0
356;09/23/2022;5;982126058484301;982126058484260;982126058484301  982126058484260;300;56;280
357;09/23/2022;3;900200000279490;982126057846193;900200000279490  982126057846193;300;88;519
358;09/23/2022;3;982126058484346;982126058484334;982126058484346  982126058484334;300;47;0
359;09/23/2022;3;982126057846193;900200000279490;982126057846193  900200000279490;300;25;0
360;09/23/2022;5;982126058484260;982126058484301;982126058484260  982126058484301;300;79;37
362;09/23/2022;3;982126058484334;982126058484312;982126058484334  982126058484312;61;41;0
363;09/23/2022;3;982126058484346;982126057846193;982126058484346  982126057846193;300;124;551
365;09/23/2022;3;900200000279490;982126058484312;900200000279490  982126058484312;120;12;0
366;09/23/2022;3;982126058484334;982126057846193;982126058484334  982126057846193;300;129;405
