data_id;Group;Date;Bat1;Bat2;Bat3;Bat4;Bat5;Bat6;Bat7;Bat8
1604;9;19/5/2022;982126058484300;982126058484277;982126051278521;982126057846222;982126058484263;982126057845058;982126057846159;NA
1611;6;20/5/2022;900200000279517;982126057846238;982126051278470;982126057845225;982126057845067;982126057846207;NA;NA
1617;12;20/5/2022;982126057845205;982126057845204;982126057845162;982126057845142;NA;NA;NA;NA
1621;8;20/5/2022;982126057846228;900200000279820;982126051278475;982126057846186;NA;NA;NA;NA
1625;4;20/5/2022;982126057846209;982126057846156;NA;NA;NA;NA;NA;NA
1627;7;20/5/2022;982126057846208;982126058484305;982126051278504;982126051278564;982126057845081;982126051278540;982126057846218;982126057846190
1635;2;20/5/2022;982126057846241;982126057845093;900200000206691;982126058484287;982126057846227;NA;NA;NA
1640;1;20/5/2022;982126058484296;982126058484331;982126057845190;900200000279533;982126058484274;982126057845181;NA;NA
1646;6;21/5/2022;900200000279517;982126057846238;982126051278470;982126057845225;982126057845067;982126057846207;NA;NA
1652;1;21/5/2022;982126058484296;982126058484331;982126057845190;900200000279533;982126058484274;982126057845181;NA;NA
1658;7;21/5/2022;982126058484305;982126051278564;982126057846208;982126057845081;NA;NA;NA;NA
1662;7;21/5/2022;982126051278540;NA;NA;NA;NA;NA;NA;NA
1663;7;21/5/2022;982126057846218;NA;NA;NA;NA;NA;NA;NA
1664;9;21/5/2022;982126058484300;982126058484277;982126051278521;982126057846222;982126058484263;982126057846159;NA;NA
1670;2;21/5/2022;982126057846241;982126057845093;900200000206691;982126058484287;982126057846227;NA;NA;NA
1675;5;21/5/2022;982126058484301;982126057845119;982126051278549;982126057845087;NA;NA;NA;NA
1679;3;21/5/2022;982126058484346;982126057846193;NA;NA;NA;NA;NA;NA
1681;11;21/5/2022;982126057846231;982126058484302;NA;NA;NA;NA;NA;NA
1683;1;22/6/2022;982126058484331;982126058484296;982126057845190;982126057845181;900200000279533;982126057845129;NA;NA
1689;12;22/6/2022;982126057845205;982126057845204;982126057845162;982126057845142;NA;NA;NA;NA
1693;6;22/6/2022;982126051278470;900200000279517;982126057845225;982126057845067;982126057846207;NA;NA;NA
1698;4;22/6/2022;982126057846209;982126057846156;982126057845121;NA;NA;NA;NA;NA
1701;11;23/6/2022;982126058484302;982126057846231;982126057845085;NA;NA;NA;NA;NA
1704;7;23/6/2022;982126057846208;982126051278504;982126051278564;982126058484305;982126057845081;NA;NA;NA
1709;13;24/6/2022;982126051278521;982126057846222;982126057845058;NA;NA;NA;NA;NA
1712;9;24/6/2022;982126058484300;982126057846159;982126058484277;982126058484263;NA;NA;NA;NA
1716;8;24/6/2022;982126057846228;900200000279820;982126051278475;982126057846186;NA;NA;NA;NA
1720;13;2/7/2022;982126058484277;982126058484300;982126057846159;NA;NA;NA;NA;NA
1723;9;2/7/2022;982126057845058;982126051278521;982126057846222;982126058484263;NA;NA;NA;NA
