"date","group","bat_flying","bat_roosting","dyad","flight_time","n_inquiry","n_response","sri","kinship","flying.sex","roosting.sex","dyad.sex","udyad.sex","year"
"2022-11-02","2022_5","bat982126057845098","bat982126058484260","bat982126057845098_bat982126058484260",300,119,315,0.352941176470588,NA,"male","female","male-->female","mixed-sex","2022"
"2022-11-02","2022_11","bat982126057845085","bat982126058484302","bat982126057845085_bat982126058484302",300,54,0,0.184210526315789,NA,"male","female","male-->female","mixed-sex","2022"
"2022-11-02","2022_5","bat982126058484301","bat982126057845087","bat982126057845087_bat982126058484301",35,2,0,0.28,NA,"female","female","female-->female","female-female","2022"
"2022-11-04","2022_2","bat982126057846241","bat982126057846227","bat982126057846227_bat982126057846241",180,82,25,0.5,NA,"male","female","male-->female","mixed-sex","2022"
"2022-11-04","2022_2","bat982126057846227","bat982126057846241","bat982126057846227_bat982126057846241",300,104,0,0.5,NA,"female","male","female-->male","mixed-sex","2022"
"2022-11-04","2021_9","bat982126057846218","bat982126057846222","bat982126057846218_bat982126057846222",300,25,64,0.0408163265306122,NA,"female","male","female-->male","mixed-sex","2022"
"2022-11-04","2022_2","bat982126057846241","bat900200000206691","bat900200000206691_bat982126057846241",300,119,0,0.375,NA,"male","male","male-->male","male-male","2022"
"2022-11-04","2021_9","bat982126051278521","bat982126051278540","bat982126051278521_bat982126051278540",300,72,0,0.0337078651685393,0,"female","female","female-->female","female-female","2022"
"2022-11-04","2022_2","bat982126058484287","bat982126057845093","bat982126057845093_bat982126058484287",100,20,3,0.205882352941176,NA,"female","female","female-->female","female-female","2022"
"2022-11-04","2021_9","bat982126051278540","bat982126051278521","bat982126051278521_bat982126051278540",300,69,0,0.0337078651685393,0,"female","female","female-->female","female-female","2022"
"2022-11-04","2022_2","bat982126057845093","bat982126058484287","bat982126057845093_bat982126058484287",300,72,0,0.205882352941176,NA,"female","female","female-->female","female-female","2022"
"2022-11-04","2022_2","bat900200000206691","bat982126057846227","bat900200000206691_bat982126057846227",9,6,0,0.68,0,"male","female","male-->female","mixed-sex","2022"
"2022-11-04","2021_9","bat982126057846222","bat982126051278540","bat982126051278540_bat982126057846222",300,57,0,0.0405405405405405,0,"male","female","male-->female","mixed-sex","2022"
