"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","type"
"1","(Intercept)",-1.51837194636684,0.09915560578221,-15.3130217337571,6.25873223461058e-53,-1.7254114664238,-1.31784998874946,"full model"
"2","kinship2",-0.0452935402492102,0.0510797481273724,-0.88672207498491,0.375228550409858,-0.146610457333232,0.0551183451263556,"full model"
"3","sri2",0.0642758100856236,0.0619713953195205,1.03718513604901,0.299649583949252,-0.0560446743122515,0.188161940148315,"full model"
"4","n_response2",0.0491325096948791,0.0404466516818433,1.21474850579374,0.224462026189725,-0.0300871352635104,0.129614216050483,"full model"
